text,label
"i need 2 copies","negotiation"
"how far na, where you go?","general chat"
"drop your digits","contact exchange"
"i no fit pay 6k","negotiation"
"make i call you when i reach?","contact exchange"
"i go drop am for school gate","address exchange"
"i go pay you after class","negotiation"
"u fit send am come my hall?","address exchange"
"how much for the book?","negotiation"
"i dey rush now, talk later","general chat"
"send ur location for me","address exchange"
"where u go dey after class?","address exchange"
"you fit help me with price?","negotiation"
"how i go take reach u?","address exchange"
"send me ur contact quick","contact exchange"
"i go buy if e 4k","negotiation"
"wetin the cost now?","negotiation"
"i need the book for tomorrow","general chat"
"we go talk later","general chat"
"you dey deliver today?","negotiation"
"how much for one?","negotiation"
"i go pick am for my hostel","address exchange"
"make i send am through dhl","negotiation"
"i dey for hall 7","address exchange"
"i go drop am at gate by 5","address exchange"
"abeg send me ur number","contact exchange"
"i dey inside class","general chat"
"i fit call u later?","contact exchange"
"how far bros, wetin dey?","general chat"
"na lecture i dey for now","general chat"
"make i send ur copy to u?","negotiation"
"u go deliver before weekend?","negotiation"
"i go meet u for lecture hall","address exchange"
"how much for that one?","negotiation"
"bros, drop ur number","contact exchange"
"u go fit help me deliver?","negotiation"
"make i send d money to ur account?","negotiation"
"i dey outside gate","address exchange"
"call me when u reach school","contact exchange"
"abeg make i send am after lecture","contact exchange"
"where u dey stay for unilag?","address exchange"
"i no fit come today again","general chat"
"i need am for tomorrow morning","general chat"
"how much for two copies?","negotiation"
"make i send am to ur hostel?","address exchange"
"u get cash for hand?","negotiation"
"bros, reduce the price small","negotiation"
"i no fit pay that much","negotiation"
"i go send u the money soon","contact exchange"
"send ur contact make we talk","contact exchange"
"how far with delivery?","negotiation"
"i go meet u after lecture","address exchange"
"we fit link up later","general chat"
"drop ur whatsapp number","contact exchange"
"u go fit drop am for hall 6?","address exchange"
"how much for am?","negotiation"
"i dey for law faculty","address exchange"
"i no dey for school today","general chat"
"bros send me ur line","contact exchange"
"i go see u for main gate","address exchange"
"make i call u after class","contact exchange"
"wetin be the cost now?","negotiation"
"how far, na wetin dey happen?","general chat"
"i go pay u tomorrow","negotiation"
"send me the address now","address exchange"
"how far, u dey?","general chat"
"i dey finish lecture soon","general chat"
"i go meet u at the gate","address exchange"
"i fit link u for ur hostel","address exchange"
"u fit meet me for N33?","address exchange"
"make i call u later na","contact exchange"
"you sure say the price go work?","negotiation"
"i no get change, i go send later","contact exchange"
"wetin the book dey sell for?","negotiation"
"call me when u drop am","contact exchange"
"i dey for the science building","address exchange"
"how much for that book?","negotiation"
"bros, price no dey add up o","negotiation"
"u go fit help me buy am?","negotiation"
"u dey around later?","general chat"
"i need the book by friday","general chat"
"you go drop for faculty side?","address exchange"
"bros, i no get enough for the price","negotiation"
"send me the details through dm","contact exchange"
"u fit bring am come law faculty?","address exchange"
"i go meet u by the bus stop","address exchange"
"you dey available for pick up?","negotiation"
"i dey hostels side","address exchange"
"i go send am to u later","contact exchange"
"send me the book price again","negotiation"
"how much you wan sell am?","negotiation"
"bros, no add price o","negotiation"
"i dey come, wait for me for the gate","address exchange"
"u fit check for the latest one?","negotiation"
"make we link up later for N20?","address exchange"
"i go drop by 4","address exchange"
"make i send am through DHL?","negotiation"
"make i drop ur copy for lecture hall?","address exchange"
"bros, abeg reduce the price","negotiation"
"you sure say u go deliver?","negotiation"
"how much u wan sell am for?","negotiation"
"make i drop the book for ur hostel?","address exchange"
"how much is the price for that book?","negotiation"
"can you send me your contact details?","contact exchange"
"how do I get to your location?","address exchange"
"please call me once you reach school","contact exchange"
"can I pick it up from you after class?","address exchange"
"what is the total cost for the two books?","negotiation"
"please send me the details through email","contact exchange"
"what is the price now?","negotiation"
"can you meet me at the library?","address exchange"
"when is the best time for you to meet?","address exchange"
"I will send you the money tomorrow","negotiation"
"can you drop it off at the school gate?","address exchange"
"please give me a discount on this price","negotiation"
"can we meet at the student center?","address exchange"
"send me your location and I will find you","address exchange"
"can I get it delivered to my hostel?","address exchange"
"how much is the shipping?","negotiation"
"can I pay you after class?","negotiation"
"where can I pick it up from?","address exchange"
"can you meet me by the parking lot?","address exchange"
"let me know once you get here","general chat"
"how much for just one book?","negotiation"
"I’m outside the gate, please come out","address exchange"
"can you send me your WhatsApp number?","contact exchange"
"when can I expect delivery?","negotiation"
"I’m at the faculty of science now","address exchange"
"can I get it delivered by tomorrow?","negotiation"
"call me when you get this message","contact exchange"
"I’ll send you the payment after class","negotiation"
"where exactly is your office located?","address exchange"
"I need this urgently, can you help?","negotiation"
"I will drop it off at the library tomorrow","address exchange"
"let me know if you’re available to meet now","general chat"
"please send your account details","contact exchange"
"how much do I need to pay for delivery?","negotiation"
"can I pick it up at the bookstore?","address exchange"
"we can meet after the lecture","address exchange"
"can I pay via transfer?","negotiation"
"how much are you charging for this?","negotiation"
"I’ll send you the money via bank transfer","negotiation"
"can I come by to pick it up later today?","address exchange"
"do you have more copies available?","negotiation"
"please confirm if it’s still available","negotiation"
"where do I meet you to pick it up?","address exchange"
"please share your contact details with me","contact exchange"
"how far are you from the main gate?","address exchange"
"send me the full details of the book","negotiation"
"we can meet up later for the exchange","address exchange"
"can you reduce the price a bit?","negotiation"
"please give me an estimate of the total cost","negotiation"
"can we meet tomorrow at 2 PM?","address exchange"
"let me know if you need help with anything","general chat"
"how can I get it to my hostel?","address exchange"
"send me the payment details for the transaction","contact exchange"
"can you meet me by the entrance?","address exchange"
"where exactly should I drop it off?","address exchange"
"how much do you want for this book?","negotiation"
"do you have a lower price for students?","negotiation"
"please send me the book details again","contact exchange"
"I’m free after 3 PM, can we meet then?","address exchange"
"please confirm if we can meet tomorrow","address exchange"
"how much?","negotiation"
"send me ur number","contact exchange"
"where u dey?","address exchange"
"call me later","contact exchange"
"i need it today","negotiation"
"pick it up from gate","address exchange"
"how far with delivery?","negotiation"
"give me discount","negotiation"
"drop ur contact","contact exchange"
"send me ur location","address exchange"
"i need the price","negotiation"
"i’ll pay later","negotiation"
"are u around?","general chat"
"i dey for campus","address exchange"
"send account details","contact exchange"
"can we meet later?","address exchange"
"how much for 2?","negotiation"
"send it to hostel","address exchange"
"u fit reduce?","negotiation"
"i’ll call u after class","contact exchange"
"where can i meet u?","address exchange"
"how far?","general chat"
"can u help me?","negotiation"
"send me full details","contact exchange"
"i’m on my way","general chat"
"pick me up","address exchange"
"call me now","contact exchange"
"meet me at gate","address exchange"
"can i pay tomorrow?","negotiation"
"whats the price?","negotiation"
"when will u deliver?","negotiation"
"i dey near library","address exchange"
"how much for one?","negotiation"
"send me the book","negotiation"
"pick up from faculty","address exchange"
"can u meet me?","address exchange"
"give me ur WhatsApp","contact exchange"
"i’ll send the money","negotiation"
"waiting for u","general chat"
"how much is this?","negotiation"
"i need it now","negotiation"
"call me when u get this","contact exchange"
"where u at?","general chat"
"i’ll drop it off soon","address exchange"
"send me ur bank details","contact exchange"
"can u deliver it?","negotiation"
"meet me at N33","address exchange"
"i need it before noon","negotiation"
"can u reduce price?","negotiation"
"pick it up from my hostel","address exchange"
"send to hostel later","address exchange"
"how much for delivery?","negotiation"
"i’m at the gate","address exchange"
"can u bring it to school?","address exchange"
"i go send d money","negotiation"
"i need the book now","negotiation"
"let me know when u arrive","general chat"
"call me at 2","contact exchange"
"i'll txt u later","contact exchange"
"lets meet after exam","address exchange"
"how much 4 book?","negotiation"
"plz send me ur digits","contact exchange"
"send me ur addy","address exchange"
"where u dey go?","general chat"
"meet at d usual spot","address exchange"
"no wahala, later","general chat"
"price pls, urgent","negotiation"
"abeg call me now","contact exchange"
"meet me by 4 PM","address exchange"
"just call me, ok?","contact exchange"
"can u meet up? pls","address exchange"
"need ur contact fast","contact exchange"
"dey there already","address exchange"
"how much na?","negotiation"
"pls meet me later","address exchange"
"check ur phone, pls","contact exchange"
"how far? we good?","general chat"
"i’m near ur place","address exchange"
"send bank info pls","contact exchange"
"whatsapp me 2moro","contact exchange"
"just transfer now","negotiation"
"when we go meet?","address exchange"
"how far with price?","negotiation"
"give me discount now","negotiation"
"u go collect for me?","address exchange"
"how much u go reduce?","negotiation"
"i send account details","contact exchange"
"where you dey exactly?","address exchange"
"you fit do transfer?","negotiation"
"make i call u?","contact exchange"
"we go meet at N4?","address exchange"
"waiting for call","contact exchange"
"no call pls, just text","contact exchange"
"send location fast","address exchange"
"abeg just send me number","contact exchange"
"i go transfer after class","negotiation"
"pls drop d money","negotiation"
"meet me at the car park","address exchange"
"how much for 2 books?","negotiation"
"no need for call, just text","contact exchange"
"let me know when u reach","general chat"
"we fit meet later?","address exchange"
"can u send address pls?","address exchange"
"check ur WhatsApp now","contact exchange"
"u get the number?","contact exchange"
"please send the location","address exchange"
"i need ur WhatsApp urgently","contact exchange"
"send me the full info pls","contact exchange"
"call me after work","contact exchange"
"whats d price now?","negotiation"
"where we meet again?","address exchange"
"pls reply on WhatsApp","contact exchange"
"i go collect d book tomorrow","address exchange"
"pls txt me the cost","negotiation"
"pls check ur inbox","contact exchange"
"call me after 5","contact exchange"
"can u send it by bus?","address exchange"
"meet at the same spot","address exchange"
"pls drop it off to me","address exchange"
"just text me the details","contact exchange"
"how's your day?","general chat"
"let's meet tomorrow","address exchange"
"can I call you later?","contact exchange"
"hope you're doing well","general chat"
"when is the deadline?","negotiation"
"how was the weekend?","general chat"
"thanks for the info","general chat"
"can we meet at noon?","address exchange"
"please let me know","general chat"
"how's everything?","general chat"
"it's so hot today","general chat"
"what time is the meeting?","negotiation"
"how are you feeling?","general chat"
"where do we meet?","address exchange"
"can I get a discount?","negotiation"
"let's catch up soon","general chat"
"hope to hear from you","general chat"
"what are you doing today?","general chat"
"do you need help?","general chat"
"where is the place?","address exchange"
"see you soon!","general chat"
"are you free this evening?","general chat"
"can we reschedule?","negotiation"
"hope you're okay","general chat"
"how do you like the book?","general chat"
"how do I get there?","address exchange"
"please call me later","contact exchange"
"any updates?","general chat"
"what time works for you?","negotiation"
"do you have time now?","general chat"
"have you seen the movie?","general chat"
"can I send you something?","contact exchange"
"do you like the idea?","general chat"
"where should I meet you?","address exchange"
"i'm free this evening","general chat"
"any news on that?","general chat"
"when will the order arrive?","negotiation"
"i will be at the gate","address exchange"
"where are you now?","general chat"
"how's the weather there?","general chat"
"can I get a ride?","address exchange"
"can we discuss later?","negotiation"
"where should I park?","address exchange"
"i'll send the link soon","contact exchange"
"hope to see you soon","general chat"
"how's the family?","general chat"
"what are your plans today?","general chat"
"when can we meet?","address exchange"
"let me know what you think","general chat"
"how's everything going?","general chat"
"let me know when you arrive","general chat"
"where do I pick it up?","address exchange"
"do you have the time?","general chat"
"what's the cost?","negotiation"
"i'll call you back","contact exchange"
"how are things going?","general chat"
"do you want to meet up?","address exchange"
"when are you free?","general chat"
"can we talk later?","contact exchange"
"how's the project going?","general chat"
"what's the plan for tomorrow?","general chat"
"any plans for the weekend?","general chat"
"where can I get that?","address exchange"
"do you have a minute?","general chat"
"please get back to me","contact exchange"
"how was your trip?","general chat"
"let's chat soon!","general chat"
"i'll bring it tomorrow","address exchange"
"can you make it?","address exchange"
"how's your work going?","general chat"
"we need to talk soon","general chat"
"let me know if you need help","general chat"
"where's the meeting?","address exchange"
"can you meet me this week?","address exchange"
"how can I reach you?","contact exchange"
"please remind me later","general chat"
"when can I pick it up?","address exchange"
"let's grab coffee soon","general chat"
"can you send that to me?","contact exchange"
"how do I find you?","address exchange"
"what's your plan for the day?","general chat"
"hope you're doing okay","general chat"
"how was your holiday?","general chat"
"do you have any updates?","general chat"
"please confirm the time","general chat"
"when can we talk?","general chat"
"i'll send it right away","contact exchange"
"are we still meeting?","address exchange"
"hope to see you soon!","general chat"
"do you have any suggestions?","general chat"
"when do you finish work?","general chat"
"how was your weekend?","general chat"
"please let me know your thoughts","general chat"
"what's the status?","general chat"
"let's meet after work","address exchange"
"can we schedule a meeting?","negotiation"
"i'll be there at 3 PM","address exchange"
"how's the weather today?","general chat"
"please send me your number","contact exchange"
"how was the event?","general chat"
"what time do you finish?","general chat"
"can I get a quick update?","general chat"
"where should we meet?","address exchange"
